referenceId,share,mediaRatio
JPN-JEK-D-00000-00042,0.365,1
JPN-JEK-D-00000-00048,0.136,1
JPN-JEK-D-00000-00046,0.287,1
JPN-JEK-D-00000-00032,0.113,1
JPN-JEK-D-00000-00041,0.072,1
JPN-JEK-D-00000-00044,0.2,1
JPN-JEK-D-00000-00030,0.2,1
JPN-JEK-D-00000-00031,0.149,1
JPN-JEK-D-00000-00029,1.1,1
JPN-JEK-D-00000-00036,0.5,1
JPN-JEK-D-00000-00050,0.323,1
JPN-JEK-D-00000-00051,0.833,1
JPN-JEK-D-00000-00033,0.281,1
JPN-JEK-D-00000-00035,0.057,1
JPN-JEK-D-00000-00038,0.406,1
JPN-JEK-D-00000-00049,0.453,1
JPN-JEK-D-00000-00034,0.297,1
JPN-JEK-D-00000-00037,0.373,0.5
JPN-JEK-D-00000-00043,0.181,1
JPN-JEK-D-00000-00047,0.487,1
JPN-JEK-D-00000-00052,0.295,1
JPN-JEK-D-00000-00040,0.08,1
JPN-JEK-D-00000-00045,0.729,1
JPN-JEK-D-00000-00039,0.179,1
JPN-JEK-D-00000-00058,0.02,1
JPN-JEK-D-00000-00059,0.02,1
JPN-JEK-D-00000-00060,0.685,1
JPN-JEK-D-00000-00061,0.52,1
JPN-JEK-D-00000-00446,0.319,1
JPN-JEK-D-00000-00459,0.319,1
JPN-JEK-D-00000-00449,0.365,1
JPN-JEK-D-00000-00462,0.365,1
JPN-JEK-D-00000-00451,0.264,1
JPN-JEK-D-00000-00450,0.236,1
JPN-JEK-D-00000-00463,0.236,1
JPN-JEK-D-00000-00445,0.406,1
JPN-JEK-D-00000-00444,0.313,1
JPN-JEK-D-00000-00448,0.181,1
JPN-JEK-D-00000-00461,0.181,1
JPN-JEK-D-00000-00452,0.12,1
JPN-JEK-D-00000-00453,0.12,1
JPN-JEK-D-00000-00591,0.188740889670772,0.9
JPN-JEK-D-00000-00595,0.0541593365167127,1
JPN-JEK-D-00000-00590,0.117240512691631,0.87
JPN-JEK-D-00000-00594,0.0531540588087459,1
JPN-JEK-D-00000-00597,0.129052525760241,0.8
JPN-JEK-D-00000-00589,0.198668007036944,1
JPN-JEK-D-00000-00593,0.0725056546871073,0.9
JPN-JEK-D-00000-00596,0.0373209349082684,0.9
JPN-JEK-D-00000-00598,0.0835637094747424,0.42
JPN-JEK-D-00000-00592,0.0601910027645137,0.96
JPN-JEK-D-00000-00599,0.0054033676803217,0.31
JPN-JEK-D-00000-00960,0.5,1
JPN-JEK-D-00000-00961,0.319,1
JPN-株式会-D-00000-01161,1,1
JPN-株式会-D-00000-01162,1,1
JPN-株式会-D-00000-01163,1,1
JPN-株式会-D-00000-01164,1,1
JPN-株式会-D-00000-01165,1,1
JPN-株式会-D-00000-01177,1,1
JPN-株式会-D-00000-01178,1,1
JPN-株式会-D-00000-01179,1,1
JPN-株式会-D-00000-01180,1,1
JPN-株式会-D-00000-01181,1,1
JPN-株式会-D-00000-01182,1,1
JPN-株式会-D-00000-01183,1,1
JPN-株式会-D-00000-01184,1,1
JPN-株式会-D-00000-01168,1,1
JPN-株式会-D-00000-01169,1,1
JPN-株式会-D-00000-01170,1,1
JPN-株式会-D-00000-01171,1,1
JPN-株式会-D-00000-01175,1,1
JPN-株式会-D-00000-01166,1,1
JPN-株式会-D-00000-01167,1,1
JPN-株式会-D-00000-01172,1,1
JPN-株式会-D-00000-01173,1,1
JPN-株式会-D-00000-01174,1,1
JPN-株式会-D-00000-01176,1,1
JPN-株式会-D-00000-01160,1,1
JPN-株式会-D-00000-01149,1,1
JPN-株式会-D-00000-01150,1,1
JPN-株式会-D-00000-01151,1,1
JPN-株式会-D-00000-01152,1,1
JPN-株式会-D-00000-01153,1,1
JPN-株式会-D-00000-01154,1,1
JPN-株式会-D-00000-01155,1,1
JPN-株式会-D-00000-01156,1,1
JPN-株式会-D-00000-01157,1,1
JPN-株式会-D-00000-01158,1,1
JPN-株式会-D-00000-01159,1,1
JPN-JEK-D-00000-04334,1,1
JPN-JEK-D-00000-04333,1,1
