ReferenceId,NetworkId
JPN-JEK-D-00000-00029,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00030,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00031,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00032,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00034,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00035,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00039,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00040,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00041,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00042,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00044,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00045,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00046,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00047,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00048,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00049,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00050,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00051,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00052,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00058,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00059,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00060,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00061,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00960,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00961,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-04333,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-04334,JPN-JEK-N-00000-00003
JPN-JEK-D-00000-00036,JPN-JEK-N-00000-00003
